Characteristic,Total ,"Under $5,000","$5,000 to  $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $64,999","$65,000 to $69,999","$70,000 to $74,999","$75,000 to $79,999","$80,000 to $84,999","$85,000 to $89,999","$90,000 to $94,999","$95,000 to $99,999","$100,000 to $104,999","$105,000 to $109,999","$110,000 to $114,999","$115,000 to $119,999","$120,000 to $124,999","$125,000 to $129,999","$130,000 to $134,999","$135,000 to $139,999","$140,000 to $144,999","$145,000 to $149,999","$150,000 to $154,999","$155,000 to $159,999","$160,000 to $164,999","$165,000 to $169,999","$170,000 to $174,999","$175,000 to $179,999","$180,000 to $184,999","$185,000 to $189,999","$190,000 to $194,999","$195,000 to $199,999","$200,000 and over",Median income,,Mean income,,Gini ratio,,Income per household member,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Value
(Dol.)","Standard
error (Dol.)","Value
(Dol.)","Standard
error (Dol.)",Ratio,"Standard
error","Value
(Dol.)","Standard
error (Dol.)"
Two earners or more,"49,769",56,129,213,391,563,729,"1,064","1,245","1,403","1,532","1,818","1,805","1,864","1,853","1,993","1,935","1,900","1,827","1,716","1,614","1,672","1,564","1,481","1,260","1,335","1,157","1,050","1,020",922,868,866,771,747,593,643,551,520,430,465,364,"5,839","97,231",544,"120,772",822,0.366,0.0029,"35,607",285
..Two earners,"39,648",53,124,200,367,516,665,992,"1,109","1,236","1,347","1,609","1,541","1,574","1,568","1,628","1,589","1,584","1,465","1,372","1,279","1,329","1,169","1,194",915,"1,004",869,769,747,660,625,633,541,530,410,484,394,381,289,339,258,"4,289","92,023",574,"116,269",876,0.375,0.0033,"37,506",323
..Three earners,"7,608",2,5,13,21,45,58,63,125,152,162,180,227,249,245,304,280,241,281,264,250,262,294,227,257,252,181,219,204,183,190,165,173,138,133,97,106,99,82,89,74,"1,016","111,416","1,226","131,956","1,907",0.327,0.0072,"31,535",526
..Four earners or more,"2,513",0,0,0,3,2,7,9,11,14,23,29,37,41,41,61,66,75,81,80,85,81,101,59,88,78,107,62,69,80,52,68,57,79,49,62,51,41,58,37,33,534,"136,308","3,663","157,966","3,211",0.295,0.0086,"28,224",637
Mean number of earners,1.30,0.21,0.35,0.38,0.53,0.66,0.78,0.92,1.01,1.13,1.19,1.28,1.42,1.41,1.50,1.62,1.60,1.64,1.78,1.72,1.82,1.74,1.92,1.84,1.98,1.89,1.94,1.96,2.01,2.05,2.04,1.94,2.06,2.07,2.13,2.11,2.14,2.07,2.24,2.17,2.26,2.09,(X),(X),(X),(X),(X),(X),(X),(X)
WORK EXPERIENCE OF HOUSEHOLDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
....Total,"125,819","4,235","4,071","6,324","6,470","6,765","6,222","6,354","5,743","5,203","5,002","5,078","4,140","4,367","3,733","3,683","3,650","3,354","2,893","2,850","2,452","2,792","2,232","2,158","1,748","1,987","1,675","1,474","1,380","1,220","1,111","1,313","1,017",993,761,822,700,677,536,561,431,"7,640","56,516",321,"79,263",403,0.479,0.0020,"31,304",169
Worked,"82,861",685,"1,125","1,757","2,465","3,272","3,262","3,779","3,496","3,438","3,374","3,634","3,053","3,208","2,817","2,868","2,839","2,628","2,310","2,244","2,032","2,318","1,877","1,820","1,477","1,703","1,431","1,221","1,172","1,055",979,"1,126",863,864,673,725,606,605,487,496,393,"6,686","73,182",575,"95,769",562,0.428,0.0024,"35,237",221
.Worked at full time jobs,"68,874",242,456,878,"1,591","2,288","2,487","3,072","2,824","2,815","2,784","3,056","2,616","2,842","2,437","2,505","2,424","2,291","2,071","1,958","1,767","2,049","1,683","1,637","1,321","1,508","1,299","1,052","1,045",958,869,"1,038",771,780,609,637,548,548,426,437,355,"5,899","77,554",495,"100,623",640,0.411,0.0027,"36,677",252
...50 weeks or more,"59,702",71,154,462,"1,065","1,745","1,983","2,592","2,420","2,454","2,396","2,631","2,270","2,471","2,159","2,194","2,149","2,089","1,823","1,752","1,604","1,857","1,509","1,492","1,183","1,352","1,175",972,972,871,772,965,703,724,528,598,512,502,382,384,319,"5,445","81,224",380,"104,363",679,0.401,0.0028,"37,930",268
