Characteristic,Total ,"Under $5,000","$5,000 to  $9,999","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $54,999","$55,000 to $59,999","$60,000 to $64,999","$65,000 to $69,999","$70,000 to $74,999","$75,000 to $79,999","$80,000 to $84,999","$85,000 to $89,999","$90,000 to $94,999","$95,000 to $99,999","$100,000 to $104,999","$105,000 to $109,999","$110,000 to $114,999","$115,000 to $119,999","$120,000 to $124,999","$125,000 to $129,999","$130,000 to $134,999","$135,000 to $139,999","$140,000 to $144,999","$145,000 to $149,999","$150,000 to $154,999","$155,000 to $159,999","$160,000 to $164,999","$165,000 to $169,999","$170,000 to $174,999","$175,000 to $179,999","$180,000 to $184,999","$185,000 to $189,999","$190,000 to $194,999","$195,000 to $199,999","$200,000 and over",Median income,,Mean income,,Gini ratio,,Income per household member,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Value
(Dol.)","Standard
error (Dol.)","Value
(Dol.)","Standard
error (Dol.)",Ratio,"Standard
error","Value
(Dol.)","Standard
error (Dol.)"
..55 to 64 years,"23,509","1,000",899,"1,224","1,058","1,063",934,"1,041","1,061",932,776,925,733,801,680,768,707,581,507,555,488,494,459,413,344,410,264,309,260,286,206,227,195,174,212,176,127,125,123,126,123,"1,723","60,580",684,"82,794","1,032",0.481,0.0043,"37,202",484
65 years and over,"29,946",862,"1,289","2,906","2,803","2,416","2,176","1,802","1,679","1,419","1,258","1,101",932,881,770,714,642,565,518,407,380,382,307,270,262,252,224,214,197,218,190,156,99,103,112,105,87,92,84,73,47,951,"36,895",355,"56,333",625,0.486,0.0037,"31,467",350
..65 to 74 years,"16,886",407,575,"1,257","1,214","1,118","1,074",966,953,846,710,678,576,583,501,479,409,376,356,293,260,273,232,176,181,165,167,154,142,154,145,115,82,85,86,77,55,65,65,54,36,745,"45,227",672,"65,991",940,0.475,0.0048,"34,685",480
..75 years and over,"13,061",455,713,"1,650","1,588","1,298","1,102",836,726,573,547,423,356,298,269,235,233,189,162,115,120,110,75,95,81,87,56,60,55,64,45,41,18,17,26,27,32,28,19,19,11,205,"28,535",485,"43,846",725,0.475,0.0052,"26,656",448
Mean age of householder,50.97,48.20,53.50,57.56,56.54,53.61,53.14,51.39,51.68,50.54,49.96,49.43,49.32,48.69,48.99,49.05,49.27,48.91,49.04,48.40,49.20,48.08,48.74,49.11,49.58,48.54,48.46,49.02,49.81,50.42,49.96,48.96,49.20,48.39,50.32,49.62,49.74,50.07,50.26,49.85,50.16,50.74,(X),(X),(X),(X),(X),(X),(X),(X)
SIZE OF HOUSEHOLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One person,"34,866","2,394","2,606","4,284","3,652","3,110","2,531","2,202","2,001","1,680","1,309","1,327","1,017",951,717,668,557,467,372,342,239,326,203,162,147,164,124,122,107,124,78,112,42,61,60,39,35,37,43,24,19,413,"27,377",290,"40,263",474,0.489,0.0044,"40,263",474
Two people,"41,881","1,177",879,"1,326","1,683","2,014","2,089","2,189","2,079","1,992","1,918","1,865","1,573","1,736","1,467","1,496","1,352","1,286","1,029",954,930,914,802,701,554,659,513,525,420,444,381,389,297,324,276,265,224,206,203,160,154,"2,439","60,406",384,"79,743",640,0.442,0.0031,"39,369",331
Three people,"19,309",493,407,550,667,773,716,812,699,713,803,815,687,747,619,627,645,524,559,566,446,538,433,396,364,420,306,289,282,301,214,216,214,190,181,149,119,141,106,112,95,"1,374","70,979",701,"90,737",996,0.435,0.0037,"29,376",349
Four people,"16,464",283,227,359,399,494,551,575,613,534,530,554,539,560,532,523,530,541,461,482,426,545,394,385,349,378,308,354,233,272,212,272,190,174,153,162,137,149,127,123,99,"1,737","83,613","1,044","107,759","1,204",0.435,0.0042,"26,369",319
Five people,"7,517",137,117,140,210,316,292,256,295,315,329,313,248,295,248,254,265,196,208,210,189,232,126,178,124,153,124,138,115,94,100,104,67,79,69,68,49,60,42,48,42,673,"74,875","1,212","98,621","1,679",0.439,0.0065,"19,355",326
Six people,"2,820",54,54,61,99,100,126,124,122,110,96,140,105,119,76,111,81,89,76,57,70,79,59,71,47,44,45,50,36,34,25,34,20,28,30,16,22,20,25,11,18,237,"70,798","1,267","95,153","2,648",0.450,0.0099,"15,471",436
Seven people or more,"1,729",33,29,45,68,58,58,73,48,87,74,71,52,71,50,58,55,40,46,53,40,44,53,29,39,46,32,34,28,19,15,20,19,19,17,19,22,6,11,7,8,132,"73,665","2,528","90,540","2,292",0.408,0.0098,"11,411",301
Mean size of household,2.54,1.91,1.78,1.71,1.90,2.07,2.19,2.27,2.31,2.40,2.52,2.54,2.56,2.64,2.67,2.73,2.79,2.79,2.90,2.96,2.97,3.01,3.01,3.12,3.14,3.09,3.12,3.18,3.11,3.03,3.11,3.12,3.15,3.13,3.16,3.21,3.28,3.19,3.20,3.29,3.27,3.24,(X),(X),(X),(X),(X),(X),(X),(X)
NUMBER OF EARNERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No earners,"29,883","3,698","2,988","4,409","3,631","2,670","2,241","1,747","1,451","1,031",911,771,526,494,434,353,330,302,208,164,170,160,142,85,101,75,77,73,61,62,53,54,29,38,20,31,21,28,24,16,20,183,"20,372",260,"30,821",346,0.509,0.0034,"18,830",223
One earner,"45,821",834,"1,218","2,109","2,731","3,510","3,173","3,320","3,034","2,854","2,471","2,387","1,891","1,963","1,413","1,398","1,243","1,073",818,763,589,830,492,490,355,489,275,323,260,284,201,370,155,191,169,112,95,128,118,105,68,"1,517","45,228",308,"62,611",572,0.449,0.0035,"28,436",277
Two earners or more,"48,883",39,114,248,417,685,949,"1,166","1,372","1,546","1,678","1,926","1,803","2,020","1,862","1,986","1,912","1,768","1,724","1,737","1,579","1,689","1,436","1,347","1,168","1,298","1,100","1,116",898,944,770,723,664,646,597,575,491,462,413,364,348,"5,305","93,091",652,"115,502",759,0.367,0.0026,"33,975",247
..Two earners,"39,162",39,110,231,395,638,883,"1,082","1,235","1,386","1,435","1,662","1,548","1,694","1,572","1,668","1,601","1,440","1,360","1,366","1,280","1,318","1,094","1,041",848,982,829,821,653,710,574,545,476,472,415,400,349,328,301,232,231,"3,918","88,202",715,"111,011",845,0.376,0.0030,"35,662",293
..Three earners,"7,342",0,4,17,20,43,60,79,123,142,220,229,220,279,238,264,265,268,282,279,212,272,272,217,231,234,199,216,185,165,148,125,150,119,133,111,90,100,80,80,71,900,"107,314","1,133","126,664","1,663",0.324,0.0058,"30,057",463
..Four earners or more,"2,379",0,0,0,2,4,6,5,13,17,23,35,35,47,51,55,47,59,82,92,87,98,70,88,89,82,72,79,60,69,48,54,37,55,49,64,51,34,33,52,47,488,"131,426","1,698","154,995","2,683",0.295,0.0086,"27,638",562
Mean number of earners,1.28,0.20,0.34,0.39,0.54,0.73,0.82,0.94,1.04,1.15,1.24,1.32,1.41,1.46,1.51,1.57,1.60,1.63,1.77,1.82,1.81,1.79,1.88,1.93,1.98,1.93,1.99,2.00,1.98,1.97,2.01,1.85,2.08,2.02,2.10,2.17,2.19,2.03,2.03,2.19,2.23,2.08,(X),(X),(X),(X),(X),(X),(X),(X)
WORK EXPERIENCE OF HOUSEHOLDER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
....Total,"124,587","4,571","4,320","6,766","6,779","6,865","6,363","6,232","5,857","5,430","5,060","5,084","4,220","4,477","3,709","3,737","3,484","3,142","2,750","2,665","2,339","2,679","2,070","1,922","1,623","1,863","1,452","1,512","1,219","1,290","1,024","1,146",848,875,786,717,607,619,556,485,436,"7,005","53,657",392,"75,738",446,0.480,0.0021,"29,862",183
Worked,"81,388",734,"1,118","1,967","2,652","3,487","3,454","3,731","3,651","3,719","3,404","3,635","3,082","3,372","2,803","2,889","2,689","2,407","2,201","2,226","1,923","2,206","1,711","1,593","1,359","1,565","1,247","1,272","1,050","1,108",892,920,751,736,691,624,529,532,485,421,388,"6,165","69,740",494,"91,986",581,0.431,0.0025,"33,791",224
.Worked at full time jobs,"67,743",303,506,"1,099","1,771","2,534","2,711","2,952","2,995","3,122","2,828","3,096","2,617","2,906","2,396","2,476","2,381","2,089","1,942","1,955","1,692","1,956","1,501","1,414","1,170","1,403","1,093","1,154",940,976,775,835,683,660,618,558,469,483,459,344,352,"5,530","73,857",535,"96,616",644,0.417,0.0026,"35,316",250
...50 weeks or more,"58,690",118,168,623,"1,153","2,020","2,165","2,420","2,545","2,653","2,403","2,648","2,314","2,611","2,131","2,235","2,158","1,873","1,756","1,732","1,512","1,786","1,372","1,309","1,044","1,277",992,"1,067",832,887,689,777,635,614,587,513,427,439,433,315,310,"5,146","77,075",357,"100,702",684,0.406,0.0026,"36,667",262
...27 to 49 weeks,"5,874",40,137,241,328,318,391,324,292,315,266,304,192,199,201,170,162,143,123,145,130,127,101,85,84,90,86,56,92,80,54,40,36,40,22,31,37,29,19,19,32,293,"54,647","1,275","76,940","1,631",0.447,0.0079,"28,311",655
...26 weeks or less,"3,179",146,201,235,290,195,154,208,158,154,159,143,110,96,65,71,61,73,63,79,50,43,28,20,43,35,15,31,16,8,32,18,12,6,8,14,5,14,7,10,10,91,"40,031","1,225","57,541","1,834",0.493,0.0112,"22,363",738
.Worked at part time jobs,"13,646",431,612,868,881,954,743,779,656,597,576,540,466,466,407,413,308,318,259,270,231,250,210,179,189,163,154,118,110,132,116,85,68,77,73,66,60,50,26,77,36,634,"47,216",811,"69,002",980,0.488,0.0053,"25,989",373
